Name,Age,Sex,Date,X,Y
Chou,3,2,920729,3.571935239,43.7293843616
Chou,3,2,920802,3.573262484,43.7215379982
Chou,3,2,920803,3.5738994557,43.7229264031
Chou,3,2,920804,3.5736612422,43.7228119693
Chou,3,2,920805,3.5752340461,43.7220386412
Chou,3,2,920809,3.5744046381,43.7221467082
Chou,3,2,920810,3.5736067884,43.721381211
Chou,3,2,920811,3.5778780889,43.7220457828
Chou,3,2,920814,3.5738108565,43.7210459063
Chou,3,2,920817,3.5742441586,43.72159032
Chou,3,2,920819,3.5746789503,43.7234040278
Chou,3,2,920820,3.5721757644,43.7230081839
Chou,3,2,920823,3.5726125219,43.7213200185
Chou,3,2,920824,3.5753114912,43.722181832
Chou,3,2,920827,3.5755423084,43.7177502246
Chou,3,2,920828,3.5765773527,43.7245626074
Brock,2,1,930701,3.5768863837,43.74721779
Jean,2,1,930701,3.5689161672,43.719037618
Chou,3,2,930702,3.5680512315,43.7192270443
Brock,2,1,930703,3.578832179,43.7470344931
Calou,2,1,930703,3.5794978058,43.7479904496
Calou,2,1,930704,3.5820688202,43.7450365779
Chou,3,2,930704,3.572007675,43.7202823434
Jean,2,1,930705,3.5708773953,43.7214469155
Brock,2,1,930706,3.5637656493,43.7426251124
Chou,3,2,930706,3.5686551207,43.7172130029
Jean,2,1,930706,3.5715217707,43.7213948996
Brock,2,1,930707,3.5758814097,43.7466616174
Calou,2,1,930707,3.5767209538,43.7464274021
Jean,2,1,930707,3.5704129343,43.7223971938
Brock,2,1,930708,3.561104456,43.7418256255
Calou,2,1,930708,3.5782644579,43.7454112999
Brock,2,1,930709,3.5622554092,43.7422453192
Calou,2,1,930709,3.5759976119,43.7456791101
Calou,2,1,930711,3.5754651753,43.7451537872
Chou,3,2,930711,3.5809120399,43.7169353285
Brock,2,1,930713,3.5656368504,43.742442846
Brock,2,1,930714,3.5610601161,43.7402687264
Brock,2,1,930715,3.5642370342,43.7419988691
Jean,2,1,930715,3.5757808672,43.7166853602
Jean,2,1,930716,3.5737706741,43.7197050145
Calou,2,1,930718,3.5834520807,43.74646176
Chou,3,2,930718,3.5668971689,43.7192395524
Chou,3,2,930719,3.5704024415,43.7182832997
Jean,2,1,930719,3.5714786436,43.7217104458
Brock,2,1,930720,3.5752146423,43.7462457848
Calou,2,1,930720,3.5815077888,43.7473112834
Chou,3,2,930720,3.5699445262,43.7171449934
Chou,3,2,930721,3.5804403194,43.716931494
Jean,2,1,930721,3.580410401,43.7172829084
Jean,2,1,930722,3.5725640004,43.7213745598
Brock,2,1,930723,3.5658189862,43.7422428274
Jean,2,1,930723,3.5779484112,43.7152753453
Brock,2,1,930724,3.5830471011,43.7460971129
Chou,3,2,930724,3.574130359,43.7196920934
Jean,2,1,930724,3.573700432,43.7265024481
Calou,2,1,930725,3.5757146873,43.7458082269
Jean,2,1,930725,3.5724996631,43.7224645272
Brock,2,1,930726,3.5620507683,43.7407441626
